,ch,py,en
5091,笮,ze2,board under tiles on roof/narrow
5092,魍,wang3,elf/sprite
5093,缁,zi1,Buddhists/black silk/dark
5094,槊,shuo4,long lance
5095,跞,li4,move/walk
5096,醚,mi2,ether
5097,吒,zha4,upbraid
5098,枳,zhi3,(orange)/hedge thorn
5099,搿,ge2,to hug
5100,鹧,zhe4,partridge/Francolinus chinensis
5101,蜍,chu2,Bufo vulgaris/toad
5102,舻,lu2,bow of ship
5103,禳,rang2,sacrifice for avoiding calamity
5104,蒺,ji2,Tribulus terrestris
5105,钹,bo2,cymbals
5106,蜢,meng3,grasshopper
5107,鬻,yu4,vend
5108,珩,heng2,top gem of pendant from girdle
5109,卮,zhi1,goblet
5110,垭,ya4/ya1,character used in place names
5111,苕,tiao2,Teocoma grandiflora
5112,菀,wan3,luxuriance of growth
5113,骠,piao4/biao1,white horse
5114,袷,jia2,lined
5115,跹,xian1,manner of dancing/walk around
5116,磬,qing4,musical stone
5117,缶,fou3,pottery
5118,笸,po3,flat basket-tray
5119,鸷,zhi4,birds of prey
5120,芰,ji4,Trapa natans/water caltrop
5121,蕲,qi2,(herb)/implore/pray/place name
5122,纨,wan2,white/white silk
5123,琮,cong2,(surname)/octagonal jade badge
5124,砩,fei4/fu2,"dam up water with rocks, name of a stone"
5125,蠲,juan1,bright/glow-worm/remit taxes
5126,锒,lang2,chain/ornament
5127,郓,yun4,place name
5128,妯,zhou2,wives of brothers
5129,驷,si4,team of 4 horses
5130,鹩,liao2,eastern wren
5131,舢,shan1,sampan
5132,趸,dun3,wholesale
5133,芫,yuan2,daphne genkwa
5134,嗉,su4,"crop (of bird), crop of a bird/fat"
5135,蠊,lian2,cockroach
5136,笊,zhao4,loosely woven bamboo ladle
5137,莸,you2,Caryopteris divaricata
5138,饴,yi2,syrup
5139,阃,kun3,door to women's room/threshold
5140,枇,pi2,loquat
5141,焱,yan4,flames
5142,铆,mao3,riveting
5143,擤,xing3,blow nose
5144,柢,di3,foundation/root
5145,醢,hai3,minced meat/pickled meat
5146,溆,xu4,name of a river
5147,潴,zhu1,pool/pond
5148,牖,you3,enlighten/lattice window
5149,碓,dui4,pestle/pound with a pestle
5150,鹆,yu4,mynah
5151,鬣,lie4,bristles/mane
5152,堀,ku1,cave/hole
5153,帙,zhi4,(surname)/book cover
5154,獐,zhang1,river deer/roebuck
5155,桁,heng2,pole plate/purlin/ridge-pole
5156,蛱,jia2,butterfly
5157,鳏,guan1,widower
5158,郴,chen1,name of a district in Hunan
5159,幂,mi4,power (math.term)
5160,箝,qian2,pliers/pincers/to clamp
5161,僳,su4,Lisu (ethnic group)
5162,疝,shan4,hernia
5163,茴,hui2,fennel
5164,揶,ye2,gesticulate/play antics
5165,呦,you1,bleating of the deer
5166,囹,ling2,prison
5167,螈,yuan2,salamander/newt/Diemyelilus pyrogaster
5168,镊,nie4,forceps/to nip
5169,锑,ti1,antimony
5170,膈,ge2,diaphragm
5171,痼,gu4,obstinate disease
5172,赅,gai1,(surname)/include in/prepare
5173,贽,zhi4,gifts to superiors
5174,苤,pie3,Brassica campestris subsp. rapa
5175,峄,yi4,name of hills in Shandong
5176,雎,ju1,(fish hawk)/osprey
5177,鲋,fu4,silver carp
5178,鼬,you4,"weasel, mustela itatis"
5179,獯,xun1,name of a tribe
5180,昀,yun2,sun light/used in personal name
5181,痍,yi2,bruise/sores
5182,蟊,mao2,Spanish fly/grain-eating grub
5183,疖,jie2/jie1,"pimple, sore, boil"
5184,羸,lei2,entangled/lean
5185,栀,zhi1,gardenia
5186,槲,hu2,oak/Quercus dentata
5187,炷,zhu4,candlewick/incense stick
5188,鹂,li2,Chinese oriole
5189,裾,ju1,garment
5190,侪,chai2,a class/a company/companion
5191,珐,fa4,enamel ware/cloisonne ware
5192,哔,bi4,beiges/serge
5193,屙,e1,defecate
5194,旆,pei4,pennant/streamer
5195,佰,bai3,(complicated form of) hundred (used to avoid fraud)
5196,僦,jiu4,hire/to rent
5197,牯,gu3,bullock/cow
5198,钪,kang4,scandium
5199,掾,yuan4,official
5200,仟,qian1,thousand
5201,圮,pi3,destroyed/injure
5202,芟,shan1,cut down/mow/scythe
5203,崃,lai2,name of a mountain in Sichuan
5204,廪,lin3,government granary
5205,擘,bo4,thumb/break/tear/pierce/split/to analyze
5206,笱,gou3,basket for trapping fish
5207,跗,fu1,instep/tarsus
5208,硷,jian3,base (chem.)/soda/alkali
5209,苎,zhu4,Boehmeria nivea
5210,匏,pao2,bottle gourd/Lagenaria vulgaris
5211,嗾,sou3,to urge on/incite
5212,圄,yu3,imprison
5213,彀,gou4,enough
5214,卣,you3,wine container
5215,掴,guo2,to slap
5216,涑,su4,name of a river
5217,玳,dai4,tortoise shell/turtle
5218,愍,min3,pity/sympathize
5219,畛,zhen3,border/boundary/field-path
5220,赧,nan3,blush
5221,貉,hao2/he2/mo4,"badger-like animal, badger-like animal, name of a wild tribe/silent"
5222,湫,jiao3/qiu1,marsh
5223,逦,li3,winding
5224,椴,duan4,Hibiscus syriacus
5225,铄,shuo4,bright/melt/fuse (metal)
5226,箧,qie4,portfolio/trunk
5227,刖,yue4,cut off the feet as punishment
5228,鲮,ling2,pangolin/Manis pentadactylata
5229,訇,hong1,(surname)/sound of a crash
5230,茱,zhu1,cornelian cherry
5231,啖,dan4,eat/taste/entice (with a bait)
5232,悭,qian1,stingy
5233,愀,qiao3,change countenance/worry
5234,朐,qu2,(surname)
5235,畈,fan4,field/farm
5236,佶,ji2,difficult to pronounce
5237,缃,xiang1,light yellow color
5238,晟,sheng4,brightness of sun/splendor
5239,苴,ju1,(hemp)/(surname)/sack cloth
5240,颛,zhuan1,(surname)/good/simple
5241,厍,she4,(surname)
5242,匚,fang1/qu1,box/basket
5243,徉,yang2,walk back and forth
5244,洙,zhu1,(surname)/name of a river
5245,氡,dong1,radon
5246,胗,zhen1,gizzard
5247,锆,gao4,zirconium
5248,佤,wa3,Kawa
5249,勰,xie2,harmonious
5250,钺,yue4,battle-axe
5251,繇,yao2/you2/zhou4,"folk-song/forced labor, cause/means, interpretations of the trigrams"
5252,螭,chi1,hornless dragon
5253,嵬,wei2,rocky
5254,轸,zhen3,d (11th)/strongly (as of emotion)
5255,肫,zhun1,gizzard
5256,瘿,ying3,goiter/knob on tree
5257,仞,ren4,(measure)
5258,奁,lian2,bridal trousseau
5259,宄,gui3,traitor
5260,轳,lu2,windlass
5261,熳,man4,to spread
5262,睇,di4,look down upon
5263,钼,mu4,molybdenum
5264,蝼,lou2,mole-cricket/Gryllotalpa africona
5265,跆,tai2,trample
5266,樗,chu1,simarubaceae
5267,鲰,zou1,(surname)/minnows/small fish
5268,薜,bi4,Ficus pumila
5269,铧,hua2,ploughshare/spade
5270,榇,chen4,Sterculia plantanifolia/coffin
5271,怄,ou4,annoyed
5272,寤,wu4,awake from sleep
5273,缗,min2,cord/fishing-line/string of coins
5274,硗,qiao1,stony soil
5275,碡,du2/zhou2,stone roller
5276,矬,cuo2,short/dwarfish
5277,鸱,chi1,scops owl
5278,虺,hui1/hui3,"sick/with no ambition, poisonous snakes"
5279,糅,rou2,mix
5280,雠,chou2,enmity/feud
5281,帑,tang3,treasury
5282,镧,lan2,lanthanum
5283,埙,xun1,ancient porcelain wind-instrument
5284,啁,zhou1,twittering of birds
5285,悒,yi4,anxiety/worry
5286,犍,jian1,bullock
5287,锩,juan4/juan3,to bend iron
5288,虿,chai4,(scorpion)/an insect
5289,蛑,mou2,marine crab
5290,筮,shi4,divine by stalk
5291,糁,san3/shen1,to mix (of powders)
5292,鼍,tuo2,large water lizard
5293,肄,yi4,descendants/distress/practice
5294,籴,di2,buy up (grain)
5295,骜,ao4,a noble steed/untamed
5296,砻,long2,grind/mill
5297,蜮,yu4,mythical creature/toad/worm
5298,龀,chen4,replace the milk teeth
5299,劢,mai4,put forth effort
5300,耪,pang3,to weed
5301,鬯,chang4,sacrificial spirit
5302,畚,ben3,a basket or pan used for earth/manure etc
5303,觳,hu2,(measure)/frightened
5304,稞,ke1,(wheat)
5305,鹁,bo2,woodpidgeon
5306,鲲,kun1,sea-monster/young of fishes
5307,捌,ba1,complicated form of the numeral eight/split
5308,菔,fu2,turnip
5309,獬,xie4,(mythical animal)
5310,柘,zhe4,Cudrania triloba
5311,娆,rao2/rao3,"graceful, disturbance"
5312,篪,chi2,bamboo flute with 8 holes
5313,谰,lan2,make a false charge
5314,伥,chang1,groping/rash/reckless
5315,谇,sui4,abuse
5316,鄄,juan4,name of a district in Shandong
5317,狎,xia2,be intimate with
5318,闫,yan2,(surname)
5319,滟,yan4,tossing of billows
5320,齑,ji1,fragment/spices
5321,遒,qiu2,consolidate/end/strong
5322,磔,zhe2,tearing off limbs as punishment
5323,聃,dan1,ears without rim
5324,綦,qi2,dark gray/superlative/variegated
5325,泠,ling2,(surname)/sound of water flowing
5326,砗,che1,Tridacna gigas
5327,钕,nu:3/nv3,neodymium
5328,镫,deng4,stirrup
5329,胂,shen4,arsine
5330,螯,ao2,nippers/claw (of crab)/chela/pincers/Astacus fluviatilis
5331,鲠,geng3,blunt/fish bones/unyielding
5332,佥,qian1,all
5333,罘,fu2,place name
5334,嶝,deng4,path leading up a mountain
5335,坨,tuo2,lump/spherical substance
5336,哞,mou1,moo (sound made by cow)
5337,徜,chang2,sit cross-legged/walk back and forth
5338,慊,qian4/qie4,"dissatisfied, contented"
5339,渑,sheng2/mian3,name of a river in Shandong
5340,灞,ba4,name of a river
5341,盍,he2,why not
5342,钋,po1,polonium
5343,鸫,dong1,thrush/Tardus fuscatus
5344,踯,zhi2,hesitating/to stop
5345,縻,mi2,tie up
5346,褫,chi3,strip/deprive of/to discharge/dismiss/undress
5347,羰,tang1,carbonyl (radical)
5348,俅,qiu2,ornamental cap
5349,芤,kou1,hollow/scallion stalk
5350,隳,hui1,destroy/overthrow
5351,洮,tao2,cleanse/name of a river
5352,胼,pian2,callous on hand or foot
5353,罴,pi2,(bear)
5354,镛,yong1,large bell
5355,怛,da2,distressed/alarmed/shocked/grieved
5356,芊,qian1,green/luxuriant growth
5357,噌,ceng1/cheng1,"to scold/whoosh!, sound of bells, etc"
5358,嫱,qiang2,female court officials
5359,绲,gun3,cord/embroidered sash/sew
5360,膻,shan1,rank odor (of sheep or goats)
5361,亓,qi2,(surname)/his/her/its/their
5362,蘅,heng2,Asarum blumei
5363,缒,zhui4,let down with a rope
5364,镆,mo4,sword
5365,伧,cang1,low fellow/rustic/rude/rough
5366,荏,ren3,Perilla ocimoides/soft
5367,唳,li4,cry of a crane or wild goose
5368,檩,lin3,cross-beam/ridge-pole
5369,鸶,si1,heron
5370,蚬,xian3,Cyclina orientalis
5371,骱,xie4/jie4,joint of bones
5372,澍,shu4,moisture/timely rain
5373,韫,yun4,contain
5374,嘏,gu3/jia3,"good fortune/longevity, far/grand"
5375,怙,hu4,presume
5376,羧,suo1,(chem.) carboxyl (radical)
5377,鼙,pi2,drum carried on horseback
5378,倥,kong1/kong3,"ignorant/blank-minded, urgent/pressed"
5379,亳,bo2,name of district in Anhui/capital of Yin
5380,荠,ji4/qi2,"Capsella bursa pastoris, water chestnut"
5381,昴,mao3,the Pleiades
5382,舨,ban3,sampan
5383,魈,xiao1,elf
5384,醣,tang2,carbohydrate
5385,枵,xiao1,empty/hollow of a tree
5386,珲,hun2/hui1,(fine jade)
5387,杓,biao1/shao2,"(star), ladle"
5388,楸,qiu1,Catalpa/Mallotus japonicus
5389,楦,xuan4,block (hat)/stretch (shoe)
5390,蛏,cheng1,mussel/razor clam/Solecurtus constricta
5391,蠛,mie4,minute flies
5392,髌,bin4,kneecap
5393,茔,ying2,a grave
5394,诼,zhuo2,complain
5395,嬖,bi4,(treat as a) favorite
5396,耒,lei3,plough
5397,蜣,qiang1,dung beetle
5398,笄,ji1,15 years old/hairpin for bun
5399,跣,xian3,barefooted
5400,钣,ban3,metal plate/sheet of metal
5401,戆,zhuang4/gang4,simple/stupid
5402,蜉,fu2,(dragon fly)/(large ant)/(wasp)
5403,喾,ku4,name of an emperor
5404,铍,pi2,beryllium
5405,陉,xing2,border the stove/defile/pass
5406,薹,tai2,Carex dispalatha
5407,岵,hu4,wooded hill
5408,瓴,ling2,concave channels of tiling
5409,荽,sui1,coriander
5410,怫,fei4/fu2,"anger, anxious"
5411,钭,tou3,a wine flagon
5412,窀,zhun1,grave
5413,缯,zeng1/zeng4,"(surname)/silk fabrics, to tie/to bind"
5414,倬,zhuo1,"noticeable, large/clear, distin"
5415,摭,zhi2,pick up/to select
5416,帔,pei4,cape
5417,楝,lian4,Melia japonica
5418,痱,fei4,prickly heat
5419,蚶,han1,small clam/arca inflata
5420,螬,cao2,larva of Mimela lucidula
5421,髑,du2,skull
5422,狷,juan4,timid/cautious
5423,殛,ji2,put to death
5424,裉,ken4,s seam in a garment
5425,萋,qi1,Celosia argentea/luxuriant
5426,葭,jia1,reed/Phragmites communis
5427,衽,ren4,overlapping part of Chinese gown
5428,鳢,li3,snakefish
5429,傧,bin1,best man/entertain
5430,喁,yong2,breathing (of fish)
5431,嫘,lei2,(surname)
5432,罟,gu3,implicate/net for birds or fish
5433,钌,liao3,ruthenium
5434,愦,kui4,confused/troubled
5435,锗,zhe3,germanium
5436,衿,jin1,overlapping part of Chinese gown
5437,粢,zi1,common millet
5438,醵,ju4,contribute to a feast
5439,跫,qiong2,sound of trampling
5440,廛,chan2,market place
5441,墉,yong1,fortified wall
5442,扦,qian1,graft (tree)/stick in
5443,堇,jin3,yellow loam/clay/season/few
5444,婧,jing4,modest/supple
5445,暌,kui2,in opposition to/separated from
5446,镞,zu2,arrowhead/sharp
5447,蹰,chu2,irresolute/undecided
5448,陟,zhi4,advance/ascend
5449,鳔,biao4,air bladder of fish
5450,岿,kui1,high and mighty (of mountain)/hilly
5451,侔,mou2,similar/comparable/equal
5452,郾,yan3,place name
5453,麸,fu1,bran
5454,薨,hong1,death of a prince/swarming
5455,滁,chu2,name of a river
5456,偾,fen4,instigate/ruin/destroy
5457,拊,fu3,pat
5458,撺,cuan1,rush/stir up/throw/fling/hurry/rage
5459,呒,fu3/mu2,unclear/an expletive
5460,狯,kuai4,crafty/cunning
5461,猢,hu2,(monkey)
5462,椁,guo3,outer coffin
5463,榱,cui1,small rafter
5464,罾,zeng1,large square net
5465,铳,chong4,a gun/a pistol
5466,裎,cheng2,take off clothes
5467,璎,ying1,necklace
5468,崞,guo1,name of a mountain
5469,缇,ti2,orange red silk
5470,蝣,you2,Ephemera strigata
5471,萑,huan2,(reeds)
5472,狲,sun1,(monkey)
5473,缱,qian3,attached to/loving
5474,晷,gui3,sundial
5475,冼,xian3,(surname)
5476,痧,sha1,cholera
5477,蕖,qu2,lotus
5478,锛,ben1,adz/adze
5479,窨,xun1/yin4,"to scent tea with flowers, cellar"
5480,帏,wei2,curtain/women's apartment/tent
5481,儋,dan1,carry
5482,绨,ti2,coarse greenish black pongee
5483,疠,li4,sore caused by varnish poisoning
5484,蘩,fan2,Artemisia stellariana
5485,嵝,lou3,mountain peak
5486,庀,pi3,prepare
5487,汜,si4,stream which returns after branching
5488,炅,gui4,(surname)
5489,瓠,hu4,gourd
5490,窳,yu3,bad/useless/weak
5491,虮,ji3,nymph of louse
5492,蚰,you2,house centipede
5493,邰,tai2,(surname)/name of a feudal state
5494,砀,dang4,stone with color veins
5495,捩,lie4,tear/twist
5496,蹉,cuo1,error/slip/miss/err
5497,莪,e2,zedoary
5498,螽,zhong1,(grasshopper)/Gompsocleis mikado
5499,蘼,mi2,millet
5500,槔,gao1,water pulley
5501,曛,xun1,twilight/sunset
5502,鹾,cuo2,brine/salt
5503,隹,zhui1,short-tailed bird
5504,犸,ma3,mammoth
5505,衄,nu:4/nv4,bleed at the nose/check in battle
5506,銎,qiong1/qiong2,eye of an axe
5507,泫,xuan4,weep
5508,玢,fen1/bin1,porphyrites
5509,辊,gun3,revolve/stone roller
5510,墀,chi2,courtyard
5511,酐,gan1,anhydride
5512,堞,die2,battlements
5513,猗,yi1,(interj.)
5514,逑,qiu2,collect/to match
5515,逯,lu4,(surname)/go carefully
5516,硖,xia2,place name
5517,嵛,yu2,county in shandong province
5518,畀,bi4,confer on/give to
5519,偬,zong3,busy/hurried/despondent
5520,鄞,yin2,name of a district in Zhejiang
5521,呖,li4,sound of splitting/cracking
5522,溧,li4,name of a river
5523,嬲,niao3,tease/disturb
5524,肭,na4,castor
5525,鹈,ti2,pelican
5526,窭,ju4,poor/rustic
5527,黧,li2,dark/sallow color
5528,谵,zhan1,incoherent talk/talkative
5529,嫒,ai4,your daughter (hon.)
5530,缣,jian1,thick waterproof silk
5531,酃,ling2,name of a district in Hunan
5532,喱,li2,grain weight
5533,泔,gan1,slop from rinsing rice
5534,溘,ke4,suddenly
5535,秫,shu2,Panicum italicum
5536,铋,bi4,bismuth
5537,蒌,lou2,Arthemisia vulgaris/piper betle
5538,曩,nang3,in former times
5539,赀,zi1,fine instead of punishment/property
5540,箪,dan1,round basket for cooked rice
5541,朊,ruan3,protein
5542,芑,qi3,Panicum miliaceum
5543,胙,zuo4,confer upon/sacrificial flesh
5544,盱,xu1,(surname)/anxious/stare
5545,挹,yi4,give up/ladle out/pour out
5546,捭,bai3/bai4,"spread out/to open, weed"
5547,悱,fei3,want but cannot speak
5548,鬟,huan2,a knot of hair on top of head
5549,崤,yao2/xiao2,mountain in Henan
5550,澶,chan2,still (as of water)/still water
5551,甾,zai1,steroid nucleus
5552,欹,yi1,interjection
5553,瞽,gu3,blind
5554,钇,yi3,yttrium
5555,鹪,jiao1,eastern wren
5556,缡,li2,bridal veil or kerchief
5557,铯,se4,cesium
5558,鲚,ji4,Coilia nasus
5559,嘬,chuai4/zuo1,"to gnaw/eat ravenously, suck"
5560,庹,tuo3,length of 2 outstretched arms
5561,渖,shen3,place name/pour
5562,湔,jian1,cleanse/name of a river
5563,玎,ding1,jingling/tinkling
5564,锊,lue4,(ancient unit of weight)
5565,阊,chang1,gate of heaven/gate of palace
5566,猊,ni2,(mythical animal)/lion
5567,燹,xian3,conflagration
5568,葑,feng1,turnip
5569,蓼,liao3/lu4,"polygonum/smartweed, luxuriant growth"
5570,幛,zhang4,hanging scroll
5571,岣,gou3,name of a hill in Hunan
5572,浼,mei3,ask a favor of
5573,瑷,ai4,jasper/precious stone
5574,钔,men2,mendelevium
5575,钫,fang1,francium
5576,锼,sou1,to engrave (metal of wood)
5577,褊,bian3,narrow/urgent
5578,篦,bi4,fine-toothed comb/to comb
5579,麇,jun1,hornless deer
5580,钯,ba3,palladium
5581,铒,er3,erbium
5582,莩,fu2/piao3,"pellicle of culms, die of starvation"
5583,嵯,cuo2,lofty (as of mountain)
5584,逭,huan4,escape from
5585,遄,chuan2,hurry/go to and fro
5586,瀣,xie4,mist/vapor
5587,皴,cun1,chapped/cracked
5588,泮,pan4,melt
5589,轫,ren4,brake
5590,褰,qian1,lift up the skirts/lower garments
5591,炱,tai2,soot
5592,锱,zi1,ancient weight/one-eighth of a tael
5593,篁,huang2,(bamboo)/bamboo grove
5594,葚,ren4/shen4,"fruit of mulberry, fruit of mulberry"
5595,驽,nu2,worn out old horses
5596,辚,lin2,rumbling of wheels
5597,睥,bi4/pi4,look askance
5598,鸺,xiu1,owl
5599,筇,qiong2,species of bamboo
5600,戥,deng3,small steelyard for weighing money
5601,髀,bi4,buttocks/thigh
5602,驺,zou1,go/mythical animal
5603,哙,kuai4,(surname)/throat/to swallow
5604,逄,pang2,(surname)
5605,桤,qi1,alder
5606,疳,gan1,rickets
5607,醭,bu2,mold on liquids
5608,鳇,huang2,sturgeon
5609,迓,ya4,receive (as a guest)
5610,眇,miao3,minute (small)/subtle
5611,楮,chu3,Broussonetia kasinoki
5612,菘,song1,(cabbage)/Brassica chinensis
5613,栌,lu2,capital (of column)/smoke tree
5614,醐,hu2,purest cream
5615,獍,jing4,an animal which eats its mother
5616,殳,shu1,(surname)/spear
5617,仡,yi4,strong/brave
5618,刿,gui4,cut/injure
5619,薅,hao1,pull out (weed)
5620,湓,pen2,flowing of water/name of a river
5621,搴,qian1,seize
5622,尕,ga3,(phonetic)
5623,磴,deng4,cliff-ledge/stone step
5624,艚,cao2,sea-going junk
5625,殄,tian3,exterminate
5626,暝,ming2,dark
5627,豉,chi3,salted fermented beans
5628,蟥,huang2,horse-leech
5629,蹀,die2,tread on
5630,黼,fu3,(embroidery)
5631,氙,xian1,xenon
5632,铑,lao3,rhodium
5633,蒡,bang4,Arctium lappa/great burdock
5634,杪,miao3,the limit/tip of branch
5635,肜,rong2,(surname)
5636,膂,lu:3/lv3,backbone/strength
5637,硭,mang2,crude saltpeter
5638,酽,yan4,strong (of tea)
5639,踟,chi2,hesitating/undecided/hesitant
5640,鲷,diao1,pagrus major
5641,蒴,shuo4,pod/capsule
5642,猡,luo2,name of a tribe
5643,旒,liu2,tassel
5644,哿,ge3,excellent/happy/well-being
5645,皤,po2,white
5646,殍,piao3,die of starvation
5647,漯,ta4/luo4,name of a river
5648,谂,shen3,consult
5649,橥,zhu1,Zelkova acuminata
5650,镬,huo4,boiler or caldron
5651,鸲,qu2,(mynah)
5652,姝,shu1,pretty woman
5653,茭,jiao1,Zizania aquatica
5654,窆,bian3,put a coffin in grave
5655,髟,biao1,hair/shaggy
5656,畋,tian2,cultivate (land)/to hunt
5657,溏,tang2,noncoagulative/pond
5658,鲔,wei3,little tuna/Euthnnus allecteratus
5659,羼,chan4,confusion/sheep crowding
5660,缧,lei2,bind/bond
5661,窬,yu2,hole in a wall
5662,骘,zhi4,determine/promote/stallion
5663,赉,lai4,bestow/confer
5664,镓,jia1,gallium
5665,璩,qu2,(jade ring)/(surname)
5666,鸸,er2,emu
5667,涠,wei2,still water
5668,溲,sou1,urinate
5669,孥,nu2,child/offspring
5670,敉,mi3,peaceful
5671,筌,quan2,bamboo fish trap
5672,垓,gai1,boundary
5673,苒,ran3,luxuriant growth/passing (of time)
5674,荸,bi2,water chestnut
5675,甓,pi4,glazed tile
5676,脔,luan2,skinny/sliced meat
5677,彘,zhi4,swine
5678,檠,qing2,instrument for straightening bows
5679,旄,mao2/mao4,"banner decorated with animal's tail, aged"
5680,伛,yu3,hunchbacked
5681,鲥,shi2,shad/Ilisha elongata
5682,荦,luo4,brindled ox/clear/eminent
5683,暾,tun1,sun above the horizon
5684,缌,si1,fine linen
5685,锞,ke4,grease-pot for cart/ingot
5686,趵,bao4/bo1,jump/leap
5687,跖,zhi2,sole of foot
5688,跬,kui3,brief/short step
5689,僬,jiao1,clever/pigmies
5690,皲,jun1,to chap
5691,翥,zhu4,soar
5692,芴,wu4,fluorine
5693,菰,gu1,Zizania latifolia/mushroom
5694,眙,yi2,place name
5695,訾,zi1/zi3,"(surname)/backbite/wealth, backbite/dislike"
5696,莳,shi2/shi4,Peuceclanum gravelens/to plant
5697,菪,dang4,henbane
5698,槠,zhu1,Quercus glanca
5699,俜,ping1,forlorn
5700,觚,gu1,goblet/rule/law
5701,撄,ying1,oppose/to attack
5702,嵫,zi1,name of a mountain in Gansu
5703,桴,fu2,beam/rafter
5704,晡,bu1,3-5 p.m.
5705,爨,cuan4,(surname)/cooking-stove/to cook
5706,悫,que4,honest
5707,锇,e2,osmium
5708,锖,qiang1,the color of a mineral
5709,蝾,rong2,salamander
5710,柙,xia2,cage/pen/scabbard
5711,滹,hu1,(surname)/name of a river
5712,莨,lang4,Scopalia japonica maxin
5713,尻,kao1,end of spine
5714,罨,yan3,foment/valve
5715,锔,ju1/ju2,"mend chinaware with staples, curium"
